,Date,Fed Reference Rate,Hike Cycle,Cut Cycle
0,9/27/1982,10.25,,1982_1983
1,9/28/1982,10.25,,1982_1983
2,9/29/1982,10.25,,1982_1983
3,9/30/1982,10.25,,1982_1983
4,10/1/1982,10,,1982_1983
5,10/2/1982,10,,1982_1983
6,10/3/1982,10,,1982_1983
7,10/4/1982,10,,1982_1983
8,10/5/1982,10,,1982_1983
9,10/6/1982,10,,1982_1983
10,10/7/1982,9.5,,1982_1983
11,10/8/1982,9.5,,1982_1983
12,10/9/1982,9.5,,1982_1983
13,10/10/1982,9.5,,1982_1983
14,10/11/1982,9.5,,1982_1983
15,10/12/1982,9.5,,1982_1983
16,10/13/1982,9.5,,1982_1983
17,10/14/1982,9.5,,1982_1983
18,10/15/1982,9.5,,1982_1983
19,10/16/1982,9.5,,1982_1983
20,10/17/1982,9.5,,1982_1983
21,10/18/1982,9.5,,1982_1983
22,10/19/1982,9.5,,1982_1983
23,10/20/1982,9.5,,1982_1983
24,10/21/1982,9.5,,1982_1983
25,10/22/1982,9.5,,1982_1983
26,10/23/1982,9.5,,1982_1983
27,10/24/1982,9.5,,1982_1983
28,10/25/1982,9.5,,1982_1983
29,10/26/1982,9.5,,1982_1983
30,10/27/1982,9.5,,1982_1983
31,10/28/1982,9.5,,1982_1983
32,10/29/1982,9.5,,1982_1983
33,10/30/1982,9.5,,1982_1983
34,10/31/1982,9.5,,1982_1983
35,11/1/1982,9.5,,1982_1983
36,11/2/1982,9.5,,1982_1983
37,11/3/1982,9.5,,1982_1983
38,11/4/1982,9.5,,1982_1983
39,11/5/1982,9.5,,1982_1983
40,11/6/1982,9.5,,1982_1983
41,11/7/1982,9.5,,1982_1983
42,11/8/1982,9.5,,1982_1983
43,11/9/1982,9.5,,1982_1983
44,11/10/1982,9.5,,1982_1983
45,11/11/1982,9.5,,1982_1983
46,11/12/1982,9.5,,1982_1983
47,11/13/1982,9.5,,1982_1983
48,11/14/1982,9.5,,1982_1983
49,11/15/1982,9.5,,1982_1983
50,11/16/1982,9.5,,1982_1983
51,11/17/1982,9.5,,1982_1983
