ISO3,Country,Temperature,Rainfall,GDP_Per_Capita_PPP,HDI,Continent
AFG,Afghanistan,14.11,22.45,1637.38,0.46,Asia
ALB,Albania,12.39,107.85,9628.02,0.74,Europe
DZA,Algeria,24.09,7.75,12656.37,0.73,Africa
AND,Andorra,11.14,63.33,43550,0.83,Europe
AGO,Angola,22.42,78.98,6230.3,0.52,Africa
ATG,Antigua and Barbuda,26.55,259.45,20237.67,0.77,North America
ARG,Argentina,14.36,43.72,18524.86,0.81,South America
ARM,Armenia,9.56,52.42,6565.68,0.73,Asia
AUS,Australia,21.69,54.31,39324.37,0.92,Oceania
AUT,Austria,6.36,101.82,42006.05,0.9,Europe
AZE,Azerbaijan,13.88,41.65,15884.04,0.74,Europe
BHS,Bahamas,24.75,112.53,29099.06,0.79,North America
BHR,Bahrain,28.92,2.4,39740.46,0.8,Asia
BGD,Bangladesh,26.11,195.68,2466.9,0.55,Asia
BRB,Barbados,27.22,237.2,15942.75,0.78,North America
BLR,Belarus,7.03,59.73,15927.87,0.79,Europe
BEL,Belgium,9.36,73.38,40051.96,0.9,Europe
BLZ,Belize,25.43,190.07,7688.62,0.7,North America
BEN,Benin,28.32,95.34,1781.56,0.47,Africa
BTN,Bhutan,13.05,176.81,6674.86,0.57,Asia
BOL,Bolivia,20.86,84.73,5228.12,0.65,South America
BIH,Bosnia and Herzegovina,10.18,122.97,9347.58,0.71,Europe
BWA,Botswana,22.62,41.52,12964.35,0.66,Africa
BRA,Brazil,25.82,147.05,14320.37,0.73,South America
BRN,Brunei,25.71,338.39,78907.87,0.84,Asia
BGR,Bulgaria,11.86,63.45,14934.13,0.78,Europe
BFA,Burkina Faso,29.06,72,1394.25,0.38,Africa
BDI,Burundi,21.09,105.95,718.71,0.4,Africa
KHM,Cambodia,27.82,144.16,2470.7,0.54,Asia
CMR,Cameroon,25.34,131.35,2817.57,0.51,Africa
CAN,Canada,-4.19,39.93,40012.39,0.9,North America
CPV,Cape Verde,24.13,33.19,5821.74,0.63,Africa
CAF,Central African Republic,25.94,115.9,962.29,0.35,Africa
TCD,Chad,28.49,32.91,1875.56,0.37,Africa
CHL,Chile,8.19,44.77,18161.8,0.81,South America
CHN,China,7.06,51.07,9303.73,0.71,Asia
COL,Colombia,24.96,259.8,10732.75,0.72,South America
COM,Comoros,26.05,138.54,2376.54,0.48,Africa
COD,Congo (Democratic Republic of the),24.94,123.16,646.3,0.41,Africa
COG,Congo (Republic of the),25.27,138.21,5214.5,0.56,Africa
CRI,Costa Rica,25.05,300.74,12644.7,0.75,North America
CIV,Cote d'Ivoire,27.17,144.89,2618.32,0.44,Africa
HRV,Croatia,10.97,112.23,19780.65,0.81,Europe
CUB,Cuba,25.36,129.88,10200,0.78,North America
CYP,Cyprus,21.01,33.85,33230.8,0.85,Europe
CZE,Czech Republic,7.72,72.08,27667.43,0.86,Europe
DNK,Denmark,7.06,61.9,42999.62,0.91,Europe
DJI,Djibouti,28.71,23.11,2800,0.45,Africa
DMA,Dominica,25.43,320.32,10068.07,0.72,North America
DOM,Dominican Republic,24.48,134.73,11132.94,0.7,North America
ECU,Ecuador,21.77,221.68,9114.34,0.72,South America
EGY,Egypt,24.73,2.69,9814.3,0.67,Africa
SLV,El Salvador,24.44,177.81,6152.43,0.67,North America
GNQ,Equatorial Guinea,25.16,165.7,33294.65,0.58,Africa
ERI,Eritrea,27.69,24.12,1921.43,0.42,Africa
EST,Estonia,4.89,63.14,21581.69,0.85,Europe
ETH,Ethiopia,23.52,70.13,1052.61,0.41,Africa
FRO,Faroe Islands,6.28,117.21,40000,0.95,Europe
FSM,Federated States of Micronesia,27.07,266.54,3252.31,0.61,Oceania
FJI,Fiji,24.62,201.65,7202.76,0.71,Oceania
FIN,Finland,0.96,44.58,38737.41,0.9,Europe
FRA,France,10.63,69.48,35900.05,0.88,Europe
GAB,Gabon,25.61,151.91,15190.41,0.67,Africa
GMB,Gambia,28.51,98.96,1519.84,0.44,Africa
GEO,Georgia,8.69,80.75,6838.62,0.74,Europe
DEU,Germany,8.16,64.01,39187.4,0.92,Europe
GHA,Ghana,28.1,106.15,2964.43,0.55,Africa
GRC,Greece,15.11,57.05,28148.42,0.86,Europe
GRD,Grenada,27.69,151.88,10788.99,0.74,North America
GTM,Guatemala,23.83,257.98,6576.67,0.61,North America
GIN,Guinea,26.66,175.62,1632.39,0.4,Africa
GNB,Guinea-Bissau,27.99,147.52,1401.69,0.43,Africa
GUY,Guyana,26.52,221.82,5706.19,0.63,South America
HTI,Haiti,25.09,147.9,1478.74,0.47,North America
HND,Honduras,24.07,183.42,3832.55,0.6,North America
HUN,Hungary,10.48,74.85,21534.87,0.82,Europe
ISL,Iceland,2.76,76.18,39576.97,0.89,Europe
IND,India,25.17,98.28,4360.15,0.58,Asia
IDN,Indonesia,26.43,298.39,8284.5,0.66,Asia
IRN,Iran,18.74,12.14,17767.5,0.76,Asia
IRQ,Iraq,23.86,11.35,12884.9,0.65,Asia
IRL,Ireland,8.63,85.68,43295.02,0.91,Europe
ISR,Israel,21.98,17.18,28829.53,0.89,Asia
ITA,Italy,12.22,87.59,35008.07,0.87,Europe
JAM,Jamaica,25.53,307.37,7854.33,0.71,North America
JPN,Japan,11.76,146.52,34986.99,0.89,Asia
JOR,Jordan,21.3,8.27,9194.12,0.73,Asia
KAZ,Kazakhstan,7.07,19.81,19685.35,0.77,Europe
KEN,Kenya,25.44,52.97,2385.99,0.54,Africa
KIR,Kiribati,27.51,96.96,1716.06,0.59,Oceania
KWT,Kuwait,27.41,4.23,73817.98,0.79,Asia
KGZ,Kyrgyzstan,3.51,38.54,2733.08,0.64,Asia
LAO,Laos,24.35,143.63,4130.55,0.55,Asia
LVA,Latvia,5.64,67.39,17558.71,0.82,Europe
LBN,Lebanon,18.23,34.15,14111.19,0.76,Asia
LSO,Lesotho,13.93,74.9,2369.44,0.49,Africa
LBR,Liberia,26.17,253.61,1078.95,0.41,Africa
LBY,Libya,24.07,2.68,28890.37,0.76,Africa
LTU,Lithuania,6.39,68.74,20090.86,0.82,Europe
LUX,Luxembourg,8.78,81.41,85613.59,0.89,Europe
MKD,Macedonia,10.94,66.87,11273.86,0.74,Europe
MDG,Madagascar,23.14,108.57,1357.33,0.5,Africa
MWI,Malawi,22.99,72.92,1055.49,0.44,Africa
MYS,Malaysia,25.88,270.79,20605.2,0.77,Asia
MDV,Maldives,28.48,197.08,11720.53,0.67,Asia
MLI,Mali,29.54,32.64,1836.82,0.4,Africa
MLT,Malta,19.76,35.22,27809.11,0.84,Europe
MHL,Marshall Islands,27.41,252.45,3169.69,0.71,Oceania
MRT,Mauritania,29.2,11.59,3356.36,0.49,Africa
MUS,Mauritius,23.82,154.65,15612.29,0.75,Africa
MEX,Mexico,20.76,67.6,15260.62,0.74,North America
MDA,Moldova,10.54,55.1,4637.52,0.67,Europe
MCO,Monaco,9.79,90.7,100600,0.96,Europe
MNG,Mongolia,-0.37,18.91,7530.75,0.7,Asia
MAR,Morocco,18.93,37.25,6324.15,0.62,Africa
MOZ,Mozambique,24.78,75.79,925.34,0.4,Africa
MMR,Myanmar (Burma),23.86,173.28,3613.02,0.53,Asia
NAM,Namibia,21.35,22.57,8500.1,0.71,Africa
NPL,Nepal,13.4,101.1,1946.06,0.53,Asia
NLD,Netherlands,8.98,65.95,45040.32,0.91,Europe
NZL,New Zealand,10.42,144.88,31253.05,0.9,Oceania
NIC,Nicaragua,25.36,238.19,3887.77,0.62,North America
NER,Niger,28.72,15.62,795.68,0.32,Africa
NGA,Nigeria,27.86,101.72,4981.36,0.48,Africa
NOR,Norway,-0.02,78.21,57965.53,0.94,Europe
OMN,Oman,26.59,4.46,44408.59,0.79,Asia
PAK,Pakistan,21,32.08,3988.66,0.53,Asia
PLW,Palau,28.18,211.17,13351.14,0.77,Oceania
PAN,Panama,25.71,258.92,15311.03,0.76,North America
PNG,Papua New Guinea,25.64,297.76,3039.78,0.85,Oceania
PRY,Paraguay,23.33,94.12,9541.37,0.68,South America
PER,Peru,19.86,110.97,9869.07,0.72,South America
PHL,Philippines,25.91,202.54,5468.31,0.67,Asia
POL,Poland,7.7,66.33,21048.33,0.84,Europe
PRT,Portugal,15.44,108.59,27308.19,0.82,Europe
PRI,Puerto Rico,25.76,262.33,33229.92,0.85,North America
QAT,Qatar,28.96,2.64,117518.7,0.83,Asia
MNE,Republic of Montenegro,9.54,136.18,13635,0.79,Europe
SRB,Republic of Serbia,10.99,83.46,12797.32,0.76,Europe
ROU,Romania,9.87,69.75,16966.46,0.8,Europe
RUS,Russia,-5.64,37.53,20490.13,0.78,Europe
RWA,Rwanda,20.27,109.48,1367.83,0.49,Africa
WSM,Samoa,27.68,266.81,5296.68,0.69,Oceania
STP,Sao Tome and Principe,24.2,148.8,2507.2,0.54,Africa
SAU,Saudi Arabia,26.71,4.84,44498.68,0.81,Asia
SEN,Senegal,29.2,76.74,2718.91,0.46,Africa
SYC,Seychelles,27.76,126.19,19948.42,0.75,Africa
SLE,Sierra Leone,26.88,236.56,1183.33,0.39,Africa
SGP,Singapore,28.06,216.4,71566,0.91,Asia
