Yahoo_Ticker,Ticker,Name,Sector,Country,Currency_Yahoo
MMM,MMM,3M Company,Industrials,USA,EURUSD=X
ABT,ABT,Abbott Laboratories,Health Care,USA,EURUSD=X
ABBV,ABBV,AbbVie Inc.,Health Care,USA,EURUSD=X
ABMD,ABMD,ABIOMED Inc,Health Care,USA,EURUSD=X
ACN,ACN,Accenture plc,Information Technology,USA,EURUSD=X
ATVI,ATVI,Activision Blizzard,Communication Services,USA,EURUSD=X
ADBE,ADBE,Adobe Inc.,Information Technology,USA,EURUSD=X
AMD,AMD,Advanced Micro Devices Inc,Information Technology,USA,EURUSD=X
AAP,AAP,Advance Auto Parts,Consumer Discretionary,USA,EURUSD=X
AES,AES,AES Corp,Utilities,USA,EURUSD=X
AFL,AFL,AFLAC Inc,Financials,USA,EURUSD=X
A,A,Agilent Technologies Inc,Health Care,USA,EURUSD=X
APD,APD,Air Products & Chemicals Inc,Materials,USA,EURUSD=X
AKAM,AKAM,Akamai Technologies Inc,Information Technology,USA,EURUSD=X
ALK,ALK,Alaska Air Group Inc,Industrials,USA,EURUSD=X
ALB,ALB,Albemarle Corp,Materials,USA,EURUSD=X
ARE,ARE,Alexandria Real Estate Equities,Real Estate,USA,EURUSD=X
ALXN,ALXN,Alexion Pharmaceuticals,Health Care,USA,EURUSD=X
ALGN,ALGN,Align Technology,Health Care,USA,EURUSD=X
ALLE,ALLE,Allegion,Industrials,USA,EURUSD=X
AGN,AGN,"Allergan, plc",Health Care,USA,EURUSD=X
ADS,ADS,Alliance Data Systems,Information Technology,USA,EURUSD=X
LNT,LNT,Alliant Energy Corp,Utilities,USA,EURUSD=X
ALL,ALL,Allstate Corp,Financials,USA,EURUSD=X
GOOGL,GOOGL,Alphabet Inc Class A,Communication Services,USA,EURUSD=X
GOOG,GOOG,Alphabet Inc Class C,Communication Services,USA,EURUSD=X
MO,MO,Altria Group Inc,Consumer Staples,USA,EURUSD=X
AMZN,AMZN,Amazon.com Inc.,Consumer Discretionary,USA,EURUSD=X
AMCR,AMCR,Amcor plc,Materials,USA,EURUSD=X
AEE,AEE,Ameren Corp,Utilities,USA,EURUSD=X
AAL,AAL,American Airlines Group,Industrials,USA,EURUSD=X
AEP,AEP,American Electric Power,Utilities,USA,EURUSD=X
AXP,AXP,American Express Co,Financials,USA,EURUSD=X
AIG,AIG,American International Group,Financials,USA,EURUSD=X
AMT,AMT,American Tower Corp.,Real Estate,USA,EURUSD=X
AWK,AWK,American Water Works Company Inc,Utilities,USA,EURUSD=X
AMP,AMP,Ameriprise Financial,Financials,USA,EURUSD=X
ABC,ABC,AmerisourceBergen Corp,Health Care,USA,EURUSD=X
AME,AME,AMETEK Inc.,Industrials,USA,EURUSD=X
AMGN,AMGN,Amgen Inc.,Health Care,USA,EURUSD=X
APH,APH,Amphenol Corp,Information Technology,USA,EURUSD=X
ADI,ADI,"Analog Devices, Inc.",Information Technology,USA,EURUSD=X
ANSS,ANSS,ANSYS,Information Technology,USA,EURUSD=X
ANTM,ANTM,Anthem,Health Care,USA,EURUSD=X
AON,AON,Aon plc,Financials,USA,EURUSD=X
AOS,AOS,A.O. Smith Corp,Industrials,USA,EURUSD=X
APA,APA,Apache Corporation,Energy,USA,EURUSD=X
AIV,AIV,Apartment Investment & Management,Real Estate,USA,EURUSD=X
AAPL,AAPL,Apple Inc.,Information Technology,USA,EURUSD=X
AMAT,AMAT,Applied Materials Inc.,Information Technology,USA,EURUSD=X
APTV,APTV,Aptiv PLC,Consumer Discretionary,USA,EURUSD=X
ADM,ADM,Archer-Daniels-Midland Co,Consumer Staples,USA,EURUSD=X
ARNC,ARNC,Arconic Inc.,Industrials,USA,EURUSD=X
ANET,ANET,Arista Networks,Information Technology,USA,EURUSD=X
AJG,AJG,Arthur J. Gallagher & Co.,Financials,USA,EURUSD=X
AIZ,AIZ,Assurant,Financials,USA,EURUSD=X
T,T,AT&T Inc.,Communication Services,USA,EURUSD=X
ATO,ATO,Atmos Energy,Utilities,USA,EURUSD=X
ADSK,ADSK,Autodesk Inc.,Information Technology,USA,EURUSD=X
ADP,ADP,Automatic Data Processing,Information Technology,USA,EURUSD=X
AZO,AZO,AutoZone Inc,Consumer Discretionary,USA,EURUSD=X
AVB,AVB,"AvalonBay Communities, Inc.",Real Estate,USA,EURUSD=X
AVY,AVY,Avery Dennison Corp,Materials,USA,EURUSD=X
BKR,BKR,Baker Hughes Co,Energy,USA,EURUSD=X
BLL,BLL,Ball Corp,Materials,USA,EURUSD=X
