Yahoo_Ticker,Ticker,Name,Sector,ISIN,Country,CCY,Currency_Yahoo
NESN.SW,NESN,NESTLE SA,Consumer Staples,CH0038863350,Switzerland,CHF,EURCHF=X
ROG.SW,ROG,ROCHE HOLDING PAR AG,Health Care,CH0012032048,Switzerland,CHF,EURCHF=X
NOVN.SW,NOVN,NOVARTIS AG,Health Care,CH0012005267,Switzerland,CHF,EURCHF=X
SAP.DE,SAP,SAP,Information Technology,DE0007164600,Germany,EUR,EUREUR=X
ASML.AS,ASML,ASML HOLDING NV,Information Technology,NL0010273215,Netherlands,EUR,EUREUR=X
AZN.L,AZN,ASTRAZENECA PLC,Health Care,GB0009895292,United Kingdom,GBP,EURGBP=X
HSBA.L,HSBA,HSBC HOLDINGS PLC,Financials,GB0005405286,United Kingdom,GBP,EURGBP=X
NOVO-B.CO,NOVO-B,NOVO NORDISK CLASS B,Health Care,DK0060534915,Denmark,DKK,EURDKK=X
LIN,LIN,LINDE PLC,Materials,IE00BZ12WP82,Ireland,USD,EURUSD=X
SAN.PA,SAN,SANOFI SA,Health Care,FR0000120578,France,EUR,EUREUR=X
MC.PA,MC,LVMH,Consumer Discretionary,FR0000121014,France,EUR,EUREUR=X
GSK.L,GSK,GLAXOSMITHKLINE PLC,Health Care,GB0009252882,United Kingdom,GBP,EURGBP=X
FP.PA,FP,TOTAL SA,Energy,FR0000120271,France,EUR,EUREUR=X
BATS.L,BATS,BRITISH AMERICAN TOBACCO PLC,Consumer Staples,GB0002875804,United Kingdom,GBP,EURGBP=X
BP.L,BP,BP PLC,Energy,GB0007980591,United Kingdom,GBP,EURGBP=X
RDSA.L,RDSA,ROYAL DUTCH SHELL PLC,Energy,GB00B03MLX29,United Kingdom,GBP,EURGBP=X
DGE.L,DGE,DIAGEO PLC,Consumer Staples,GB0002374006,United Kingdom,GBP,EURGBP=X
ALV.DE,ALV,ALLIANZ,Financials,DE0008404005,Germany,EUR,EUREUR=X
SIE.DE,SIE,SIEMENS N AG,Industrials,DE0007236101,Germany,EUR,EUREUR=X
UNA.AS,UNA,UNILEVER NV,Consumer Staples,NL0000388619,Netherlands,EUR,EUREUR=X
OR.PA,OR,LOREAL SA,Consumer Staples,FR0000120321,France,EUR,EUREUR=X
BAYN.DE,BAYN,BAYER AG,Health Care,DE000BAY0017,Germany,EUR,EUREUR=X
AI.PA,AI,AIR LIQUIDE SA,Materials,FR0000120073,France,EUR,EUREUR=X
ULVR.L,ULVR,UNILEVER PLC,Consumer Staples,GB00B10RZP78,United Kingdom,GBP,EURGBP=X
IBE.MC,IBE,IBERDROLA SA,Utilities,ES0144580Y14,Spain,EUR,EUREUR=X
RB.L,RB,RECKITT BENCKISER GROUP PLC,Consumer Staples,GB00B24CGK77,United Kingdom,GBP,EURGBP=X
ENEL.MI,ENEL,ENEL,Utilities,IT0003128367,Italy,EUR,EUREUR=X
RIO.L,RIO,RIO TINTO PLC,Materials,GB0007188757,United Kingdom,GBP,EURGBP=X
ZURN.SW,ZURN,ZURICH INSURANCE GROUP AG,Financials,CH0011075394,Switzerland,CHF,EURCHF=X
SU.PA,SU,SCHNEIDER ELECTRIC,Industrials,FR0000121972,France,EUR,EUREUR=X
BAS.DE,BAS,BASF N,Materials,DE000BASF111,Germany,EUR,EUREUR=X
DG.PA,DG,VINCI SA,Industrials,FR0000125486,France,EUR,EUREUR=X
ADS.DE,ADS,ADIDAS N AG,Consumer Discretionary,DE000A1EWWW0,Germany,EUR,EUREUR=X
REL.L,REL,RELX PLC,Industrials,GB00B2B0DG97,United Kingdom,GBP,EURGBP=X
DTE.DE,DTE,DEUTSCHE TELEKOM N AG,Communication,DE0005557508,Germany,EUR,EUREUR=X
BN.PA,BN,DANONE SA,Consumer Staples,FR0000120644,France,EUR,EUREUR=X
ABI.BR,ABI,ANHEUSER BUSCH INBEV NV,Consumer Staples,BE0974293251,Belgium,EUR,EUREUR=X
NG.L,NG,NATIONAL GRID PLC,Utilities,GB00BDR05C01,United Kingdom,GBP,EURGBP=X
SAN.MC,SAN,BANCO SANTANDER SA,Financials,ES0113900J37,Spain,EUR,EUREUR=X
KER.PA,KER,KERING SA,Consumer Discretionary,FR0000121485,France,EUR,EUREUR=X
AIR.PA,AIR,AIRBUS GROUP,Industrials,NL0000235190,France,EUR,EUREUR=X
VOD.L,VOD,VODAFONE GROUP PLC,Communication,GB00BH4HKS39,United Kingdom,GBP,EURGBP=X
PHIA.AS,PHIA,KONINKLIJKE PHILIPS NV,Health Care,NL0000009538,Netherlands,EUR,EUREUR=X
UBSG.SW,UBSG,UBS GROUP AG,Financials,CH0244767585,Switzerland,CHF,EURCHF=X
BNP.PA,BNP,BNP PARIBAS SA,Financials,FR0000131104,France,EUR,EUREUR=X
CS.PA,CS,AXA SA,Financials,FR0000120628,France,EUR,EUREUR=X
EL.PA,EL,ESSILORLUXOTTICA SA,Consumer Discretionary,FR0000121667,France,EUR,EUREUR=X
BHP.L,BHP,BHP GROUP PLC,Materials,GB00BH0P3Z91,United Kingdom,GBP,EURGBP=X
PRU.L,PRU,PRUDENTIAL PLC,Financials,GB0007099541,United Kingdom,GBP,EURGBP=X
ABBN.SW,ABBN,ABB LTD,Industrials,CH0012221716,Switzerland,CHF,EURCHF=X
SAF.PA,SAF,SAFRAN SA,Industrials,FR0000073272,France,EUR,EUREUR=X
RI.PA,RI,PERNOD RICARD SA,Consumer Staples,FR0000120693,France,EUR,EUREUR=X
PRX.AS,PRX,PROSUS NV,Consumer Discretionary,NL0013654783,Netherlands,EUR,EUREUR=X
LONN.SW,LONN,LONZA GROUP AG,Health Care,CH0013841017,Switzerland,CHF,EURCHF=X
ITX.MC,ITX,INDUSTRIA DE DISENO TEXTIL INDITEX,Consumer Discretionary,ES0148396007,Spain,EUR,EUREUR=X
MUV2.DE,MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,DE0008430026,Germany,EUR,EUREUR=X
CFR.SW,CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,CH0210483332,Switzerland,CHF,EURCHF=X
LLOY.L,LLOY,LLOYDS BANKING GROUP PLC,Financials,GB0008706128,United Kingdom,GBP,EURGBP=X
LSE.L,LSE,LONDON STOCK EXCHANGE GROUP PLC,Financials,GB00B0SWJX34,United Kingdom,GBP,EURGBP=X
TSCO.L,TSCO,TESCO PLC,Consumer Staples,GB0008847096,United Kingdom,GBP,EURGBP=X
DPW.DE,DPW,DEUTSCHE POST AG,Industrials,DE0005552004,Germany,EUR,EUREUR=X
DB1.DE,DB1,DEUTSCHE BOERSE AG,Financials,DE0005810055,Germany,EUR,EUREUR=X
DAI.DE,DAI,DAIMLER AG,Consumer Discretionary,DE0007100000,Germany,EUR,EUREUR=X
CPG.L,CPG,COMPASS GROUP PLC,Consumer Discretionary,GB00BD6K4575,United Kingdom,GBP,EURGBP=X
AD.AS,AD,KONINKLIJKE AHOLD DELHAIZE NV,Consumer Staples,NL0011794037,Netherlands,EUR,EUREUR=X
ENI.MI,ENI,ENI,Energy,IT0003132476,Italy,EUR,EUREUR=X
ISP.MI,ISP,INTESA SANPAOLO,Financials,IT0000072618,Italy,EUR,EUREUR=X
GIVN.SW,GIVN,GIVAUDAN SA,Materials,CH0010645932,Switzerland,CHF,EURCHF=X
