Date,Strategy_1,Strategy_2,Strategy_3,Buy_and_Hold
1/1/1904,1,1,1,1
2/1/1904,1,1,1,1
3/1/1904,1,1,1,1
4/1/1904,1,1,1,1
5/1/1904,1,1,1,1
6/1/1904,1,1,1,1
7/1/1904,1,1,1,1
8/1/1904,1,1,1,1
9/1/1904,1,1,1,1
10/1/1904,1,1,1,1
11/1/1904,1,1,1,1
12/1/1904,1,1,1,1
1/1/1905,1,1,1,1
2/1/1905,1,1,1,1
3/1/1905,1,1,1,1
4/1/1905,1,1,1,1
5/1/1905,1,1,1,1
6/1/1905,1,1,1,1
7/1/1905,1,1,1,1
8/1/1905,1,1,1,1
9/1/1905,1,1,1,1
10/1/1905,1,1,1,1
11/1/1905,1,1,1,1
12/1/1905,1,1,1,1
1/1/1906,1,1,1,1
2/1/1906,1,1,1,1
3/1/1906,1,1,1,1
4/1/1906,1,1,1,1
5/1/1906,1,1,1,1
6/1/1906,1,1,1,1
7/1/1906,1,1,1,1
8/1/1906,1,1,1,1
9/1/1906,1,1,1,1
10/1/1906,1,1,1,1
11/1/1906,1,1,1,1
12/1/1906,1,1,1,1
1/1/1907,1,1,1,1
2/1/1907,1,1,1,1
3/1/1907,1,1,1,1
4/1/1907,1,1,1,1
5/1/1907,1,1,1,1
6/1/1907,1,1,1,1
7/1/1907,1,1,1,1
8/1/1907,1,1,1,1
9/1/1907,1,1,1,1
10/1/1907,1,1,1,1
11/1/1907,1,1,1,1
12/1/1907,1,1,1,1
1/1/1908,0,1,1,1
2/1/1908,0,1,1,1
3/1/1908,0,1,1,1
4/1/1908,0,1,1,1
5/1/1908,0,1,1,1
6/1/1908,0,1,1,1
7/1/1908,0,1,1,1
8/1/1908,0,1,1,1
9/1/1908,0,1,1,1
10/1/1908,0,1,1,1
11/1/1908,0,1,1,1
12/1/1908,0,1,1,1
1/1/1909,0,1,1,1
2/1/1909,0,1,1,1
3/1/1909,0,1,1,1
4/1/1909,0,1,1,1
5/1/1909,0,1,1,1
6/1/1909,0,1,1,1
7/1/1909,0,1,1,1
8/1/1909,0,1,1,1
9/1/1909,0,1,1,1
10/1/1909,0,1,1,1
11/1/1909,0,1,1,1
12/1/1909,0,1,1,1
1/1/1910,0,1,1,1
2/1/1910,0,1,1,1
3/1/1910,0,1,1,1
4/1/1910,0,1,1,1
5/1/1910,0,1,1,1
6/1/1910,0,1,1,1
7/1/1910,0,1,1,1
8/1/1910,0,1,1,1
9/1/1910,0,1,1,1
10/1/1910,0,1,1,1
11/1/1910,0,1,1,1
12/1/1910,0,1,1,1
1/1/1911,0,0,-1,1
2/1/1911,0,0,-1,1
