Country,Symbol,Name,Yahoo Symbol,Currency,Yahoo Currency Symbol
World,GEIS,FTSE Global Equity Index Series,VWRL.AS,EUR,EURUSD=X
China,SHANGHAI SSE,Shanghai Stock Exchange,000001.SS,CNY,CNYUSD=X
Hong Kong,HANG SENG,Hang Seng Index,^HSI,HKD,HKDUSD=X
Japan,NIKKEI 225,Nikkei 225 Index,^N225,JPY,JPYUSD=X
South Korea,KOSPI,Korea Composite Stock Price Index,^KS11,KRW,KRWUSD=X
India,SENSEX,S&P BSE SENSEX,^BSESN,INR,INRUSD=X
Russia,MOEX,MOEX Russia Index,IMOEX.ME,RUB,RUBUSD=X
UK,FTSE 100,FTSE 100 Index,^FTSE,GBP,GBPUSD=X
EU,STOXX 50,Euro Stoxx 50,^STOXX50E,EUR,EURUSD=X
Germany,DAX,DAX 30 Index,^GDAXI,EUR,EURUSD=X
France,CAC,CAC 40 Index,^FCHI,EUR,EURUSD=X
Switzerland,SMI,Swiss Market Index ,^SSMI,CHF,CHFUSD=X
Brazil,IBOVESPA,Indice Bovespa (IBovespa),^BVSP,BRL,BRLUSD=X
Argentina,MERVAL,MERVAL Index,^MERV,ARS,ARSUSD=X
Colombia,COLCAP,COLPAC Index,GXG,USD,NA
Mexico,MEXBOL,Mexican Bolsa,^MXX,MXN,MXNUSD=X
US,SP500,S&P 500 Index,^GSPC,USD,NA
Canada,TSX,S&P Toronto Stock Exchange Index,^GSPTSE,CAD,CADUSD=X
Australia,ASX 200,S&P ASX 200,^AXJO,AUD,AUDUSD=X
New Zealand,NZX 50,NZX 50 Index,^NZ50,NZD,NZDUSD=X
