Date,Fed Reference Rate,CPI,Hike Cycle
9/27/1982,10.25,4.94,
9/28/1982,10.25,4.94,
9/29/1982,10.25,4.94,
9/30/1982,10.25,4.94,
10/1/1982,10,5.03,
10/2/1982,10,5.03,
10/3/1982,10,5.03,
10/4/1982,10,5.03,
10/5/1982,10,5.03,
10/6/1982,10,5.03,
10/7/1982,9.5,5.03,
10/8/1982,9.5,5.03,
10/9/1982,9.5,5.03,
10/10/1982,9.5,5.03,
10/11/1982,9.5,5.03,
10/12/1982,9.5,5.03,
10/13/1982,9.5,5.03,
10/14/1982,9.5,5.03,
10/15/1982,9.5,5.03,
10/16/1982,9.5,5.03,
10/17/1982,9.5,5.03,
10/18/1982,9.5,5.03,
10/19/1982,9.5,5.03,
10/20/1982,9.5,5.03,
10/21/1982,9.5,5.03,
10/22/1982,9.5,5.03,
10/23/1982,9.5,5.03,
10/24/1982,9.5,5.03,
10/25/1982,9.5,5.03,
10/26/1982,9.5,5.03,
10/27/1982,9.5,5.03,
10/28/1982,9.5,5.03,
10/29/1982,9.5,5.03,
10/30/1982,9.5,5.03,
10/31/1982,9.5,5.03,
11/1/1982,9.5,4.48,
11/2/1982,9.5,4.48,
11/3/1982,9.5,4.48,
11/4/1982,9.5,4.48,
11/5/1982,9.5,4.48,
11/6/1982,9.5,4.48,
11/7/1982,9.5,4.48,
11/8/1982,9.5,4.48,
11/9/1982,9.5,4.48,
11/10/1982,9.5,4.48,
11/11/1982,9.5,4.48,
11/12/1982,9.5,4.48,
11/13/1982,9.5,4.48,
11/14/1982,9.5,4.48,
11/15/1982,9.5,4.48,
11/16/1982,9.5,4.48,
11/17/1982,9.5,4.48,
11/18/1982,9.5,4.48,
11/19/1982,9,4.48,
11/20/1982,9,4.48,
11/21/1982,9,4.48,
11/22/1982,9,4.48,
11/23/1982,9,4.48,
11/24/1982,9,4.48,
11/25/1982,9,4.48,
11/26/1982,9,4.48,
11/27/1982,9,4.48,
11/28/1982,9,4.48,
11/29/1982,9,4.48,
11/30/1982,9,4.48,
12/1/1982,9,3.83,
12/2/1982,9,3.83,
12/3/1982,9,3.83,
12/4/1982,9,3.83,
12/5/1982,9,3.83,
12/6/1982,9,3.83,
12/7/1982,9,3.83,
12/8/1982,9,3.83,
12/9/1982,9,3.83,
12/10/1982,9,3.83,
12/11/1982,9,3.83,
12/12/1982,9,3.83,
12/13/1982,9,3.83,
12/14/1982,8.5,3.83,
12/15/1982,8.5,3.83,
12/16/1982,8.5,3.83,
12/17/1982,8.5,3.83,
12/18/1982,8.5,3.83,
12/19/1982,8.5,3.83,
12/20/1982,8.5,3.83,
12/21/1982,8.5,3.83,
12/22/1982,8.5,3.83,
12/23/1982,8.5,3.83,
12/24/1982,8.5,3.83,
12/25/1982,8.5,3.83,
12/26/1982,8.5,3.83,
12/27/1982,8.5,3.83,
12/28/1982,8.5,3.83,
12/29/1982,8.5,3.83,
12/30/1982,8.5,3.83,
12/31/1982,8.5,3.83,
1/1/1983,8.5,3.71,
1/2/1983,8.5,3.71,
1/3/1983,8.5,3.71,
1/4/1983,8.5,3.71,
1/5/1983,8.5,3.71,
1/6/1983,8.5,3.71,
1/7/1983,8.5,3.71,
1/8/1983,8.5,3.71,
1/9/1983,8.5,3.71,
1/10/1983,8.5,3.71,
1/11/1983,8.5,3.71,
1/12/1983,8.5,3.71,
1/13/1983,8.5,3.71,
1/14/1983,8.5,3.71,
1/15/1983,8.5,3.71,
1/16/1983,8.5,3.71,
1/17/1983,8.5,3.71,
1/18/1983,8.5,3.71,
1/19/1983,8.5,3.71,
1/20/1983,8.5,3.71,
1/21/1983,8.5,3.71,
1/22/1983,8.5,3.71,
1/23/1983,8.5,3.71,
1/24/1983,8.5,3.71,
1/25/1983,8.5,3.71,
1/26/1983,8.5,3.71,
1/27/1983,8.5,3.71,
1/28/1983,8.5,3.71,
1/29/1983,8.5,3.71,
1/30/1983,8.5,3.71,
1/31/1983,8.5,3.71,
2/1/1983,8.5,3.48,
2/2/1983,8.5,3.48,
2/3/1983,8.5,3.48,
2/4/1983,8.5,3.48,
2/5/1983,8.5,3.48,
2/6/1983,8.5,3.48,
2/7/1983,8.5,3.48,
2/8/1983,8.5,3.48,
2/9/1983,8.5,3.48,
2/10/1983,8.5,3.48,
2/11/1983,8.5,3.48,
2/12/1983,8.5,3.48,
2/13/1983,8.5,3.48,
2/14/1983,8.5,3.48,
2/15/1983,8.5,3.48,
2/16/1983,8.5,3.48,
2/17/1983,8.5,3.48,
2/18/1983,8.5,3.48,
2/19/1983,8.5,3.48,
2/20/1983,8.5,3.48,
2/21/1983,8.5,3.48,
2/22/1983,8.5,3.48,
2/23/1983,8.5,3.48,
2/24/1983,8.5,3.48,
2/25/1983,8.5,3.48,
2/26/1983,8.5,3.48,
2/27/1983,8.5,3.48,
2/28/1983,8.5,3.48,
3/1/1983,8.5,3.59,
3/2/1983,8.5,3.59,
3/3/1983,8.5,3.59,
3/4/1983,8.5,3.59,
3/5/1983,8.5,3.59,
3/6/1983,8.5,3.59,
3/7/1983,8.5,3.59,
3/8/1983,8.5,3.59,
3/9/1983,8.5,3.59,
3/10/1983,8.5,3.59,
3/11/1983,8.5,3.59,
3/12/1983,8.5,3.59,
3/13/1983,8.5,3.59,
3/14/1983,8.5,3.59,
3/15/1983,8.5,3.59,
3/16/1983,8.5,3.59,
3/17/1983,8.5,3.59,
3/18/1983,8.5,3.59,
3/19/1983,8.5,3.59,
3/20/1983,8.5,3.59,
3/21/1983,8.5,3.59,
3/22/1983,8.5,3.59,
3/23/1983,8.5,3.59,
3/24/1983,8.5,3.59,
3/25/1983,8.5,3.59,
3/26/1983,8.5,3.59,
3/27/1983,8.5,3.59,
3/28/1983,8.5,3.59,
3/29/1983,8.5,3.59,
3/30/1983,8.5,3.59,1983_1984
3/31/1983,8.625,3.59,1983_1984
4/1/1983,8.625,4,1983_1984
4/2/1983,8.625,4,1983_1984
4/3/1983,8.625,4,1983_1984
4/4/1983,8.625,4,1983_1984
4/5/1983,8.625,4,1983_1984
4/6/1983,8.625,4,1983_1984
4/7/1983,8.625,4,1983_1984
4/8/1983,8.625,4,1983_1984
4/9/1983,8.625,4,1983_1984
4/10/1983,8.625,4,1983_1984
4/11/1983,8.625,4,1983_1984
4/12/1983,8.625,4,1983_1984
4/13/1983,8.625,4,1983_1984
4/14/1983,8.625,4,1983_1984
4/15/1983,8.625,4,1983_1984
4/16/1983,8.625,4,1983_1984
4/17/1983,8.625,4,1983_1984
4/18/1983,8.625,4,1983_1984
4/19/1983,8.625,4,1983_1984
4/20/1983,8.625,4,1983_1984
4/21/1983,8.625,4,1983_1984
4/22/1983,8.625,4,1983_1984
4/23/1983,8.625,4,1983_1984
4/24/1983,8.625,4,1983_1984
4/25/1983,8.625,4,1983_1984
4/26/1983,8.625,4,1983_1984
4/27/1983,8.625,4,1983_1984
4/28/1983,8.625,4,1983_1984
4/29/1983,8.625,4,1983_1984
4/30/1983,8.625,4,1983_1984
5/1/1983,8.625,3.44,1983_1984
5/2/1983,8.625,3.44,1983_1984
5/3/1983,8.625,3.44,1983_1984
5/4/1983,8.625,3.44,1983_1984
5/5/1983,8.625,3.44,1983_1984
5/6/1983,8.625,3.44,1983_1984
5/7/1983,8.625,3.44,1983_1984
5/8/1983,8.625,3.44,1983_1984
5/9/1983,8.625,3.44,1983_1984
5/10/1983,8.625,3.44,1983_1984
5/11/1983,8.625,3.44,1983_1984
5/12/1983,8.625,3.44,1983_1984
5/13/1983,8.625,3.44,1983_1984
5/14/1983,8.625,3.44,1983_1984
5/15/1983,8.625,3.44,1983_1984
5/16/1983,8.625,3.44,1983_1984
5/17/1983,8.625,3.44,1983_1984
5/18/1983,8.625,3.44,1983_1984
5/19/1983,8.625,3.44,1983_1984
5/20/1983,8.625,3.44,1983_1984
5/21/1983,8.625,3.44,1983_1984
5/22/1983,8.625,3.44,1983_1984
5/23/1983,8.625,3.44,1983_1984
5/24/1983,8.625,3.44,1983_1984
5/25/1983,8.75,3.44,1983_1984
5/26/1983,8.75,3.44,1983_1984
5/27/1983,8.75,3.44,1983_1984
5/28/1983,8.75,3.44,1983_1984
5/29/1983,8.75,3.44,1983_1984
5/30/1983,8.75,3.44,1983_1984
5/31/1983,8.75,3.44,1983_1984
6/1/1983,8.75,2.47,1983_1984
6/2/1983,8.75,2.47,1983_1984
