sector,country,value
"Agriculture, Forestry & Fishing ",Australia,37402
"Animal product, Hunting, Crops & other.",Australia,0
Forestry & logging ,Australia,0
Fishing & Aquaculture ,Australia,0
Mining & Quarrying ,Australia,118151
Manufacturing ,Australia,83203
"Manuf. of Food, Beverages & Tobacco products ",Australia,0
"Manuf. of textiles, Wearing apparel & Other",Australia,0
Manuf. of wood & Paper products ,Australia,0
"Manuf. of wood & Products of wood & Cork,etc. ",Australia,0
Manuf. of paper & Paper products ,Australia,0
Printing & Reproduction of Recorded media ,Australia,0
Manuf. of coke & Refined petroleum ,Australia,0
Manuf. of Chemicals & Chemical products,Australia,0
Manuf. of Pharma products,Australia,0
"Manuf. of Rubber, Plastics & Nonmetallic products ",Australia,0
Manuf. of rubber & Plastics products,Australia,0
Manuf. of other Nonmetallic Mineral products,Australia,0
Manuf. Basic Metals & Fabricated metal prod.,Australia,0
"Manuf. of computer, Electronic & Optical products ",Australia,0
Manuf. of Electrical equipment ,Australia,0
Manuf. of Machinery & Equipment n.e.c. ,Australia,0
Manuf. of transport equipment ,Australia,0
Other Manuf. Products,Australia,0
"Electricity, gas, steam & Air Cond. supply ",Australia,36003
"Water supply, Waste management & similar",Australia,0
Construction ,Australia,108585
"Wholesale, Retail Trade & Repair of motor vehicles",Australia,117823
Transportation & Storage ,Australia,66222
Land transport & Transport via pipelines ,Australia,0
Water transport ,Australia,0
Air transport ,Australia,0
Warehousing & Support activities for transportation ,Australia,0
Postal & Courier activities ,Australia,0
Accommodation & Food service activ.,Australia,32925
Inform. & Communic.,Australia,34045
"Publishing, Audiovisual & Broadcasting activ.",Australia,0
Telecoms.,Australia,0
IT & Inform. Servic.,Australia,0
Financial & Insurance activ.,Australia,127321
Real estate activities ,Australia,160952
"Professional, Scient. & Technical activ.",Australia,97927
"Legal, Management Accounting, Architecture Engineering",Australia,0
Scientific research & Development ,Australia,0
"Other professional, Scientific & Technical activities ",Australia,0
"Admin, & Support Service activities ",Australia,46249
Rental & Leasing activ.,Australia,0
Employment activ.,Australia,0
"Travel agency, Tour operator & related activ.",Australia,0
"Security, Services to buildings & Related activities ",Australia,0
Public Admin. & Defence,Australia,72104
Education ,Australia,68343
Human Health & Social work activ. ,Australia,99414
"Arts, Recreation & Entertainment",Australia,11335
"Arts, Cultural & Gambling activ.",Australia,0
Sports activities & Recreational activ.,Australia,0
Other Service activ.,Australia,25024
"Agriculture, Forestry & Fishing ",Austria,0
"Animal product, Hunting, Crops & other.",Austria,3910
Forestry & logging ,Austria,1379
Fishing & Aquaculture ,Austria,32
