Country,Australia,Austria,Belgium,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland, Turkey ,United States
Total ,1723090,330333,398134,162430191,4529144,1889638,20618,195191,2043997,2922328,157526,32864441,277246,1557833,542115700,23387,37975,51599,20699790,660393,2919814,1747080,169642,75786,37350,1053191,4096431,647718,2756755,18803201
"Agriculture, Forestry & Fishing ",47987,,,,,,,,,,,,,34110,6482900,,,,,,,,,,,,,,189194,
"Animal product, Hunting, Crops & other.",,3274,2707,4864717,77529,26005,282,1327,31737,23122,5913,1393391,3279,,,503,1239,126,693411,13172,16112,48237,2877,1404,471,29925,31417,4024,,162480
Forestry & logging ,,1155,83,962351,25822,2199,249,3784,3015,3595,66,76968,53,,,393,212,13,23964,136,5419,6159,896,607,320,995,33966,333,,12402
Fishing & Aquaculture ,,27,54,1154747,500,2855,33,130,862,263,695,4649,153,,,34,33,,24450,358,43601,363,334,14,5,1633,1311,34,,3697
Mining & Quarrying ,151586,1089,248,17419153,33109,21524,249,940,1848,4262,799,63698,718,4145,301200,118,114,34,898829,7540,491595,32366,609,318,139,2049,25523,833,27863,258647
Manufacturing ,106749,,,,,,,,,,,,94064,,,,,,,,,,,,,,,,547179,
"Manuf. of Food, Beverages & Tobacco products ",,6287,8237,7429455,102033,31248,393,2705,43677,46240,5616,706557,,28061,13322500,544,1523,277,980562,15472,45603,57258,4138,857,569,26255,45588,12656,,246271
"Manuf. of textiles, Wearing apparel & Other",,1006,1404,359908,27992,3018,190,411,4961,7693,478,155560,,25172,1317700,136,542,231,151390,1164,3172,11010,4186,538,274,9249,4678,1134,,27712
Manuf. of wood & Paper products ,,,,2817157,,,,,,,,,,15104,,,,113,,,,,,,,,,,,
"Manuf. of wood & Products of wood & Cork,etc. ",,2517,919,,27855,4235,545,1311,3195,6893,66,87396,,,,639,508,,32572,941,8965,12120,997,781,272,1912,24123,3014,,38009
Manuf. of paper & Paper products ,,2023,1045,,21597,2644,68,3251,4594,11106,137,133436,,,2231500,36,217,,64407,1752,3133,11084,881,319,192,3773,37802,786,,58779
Printing & Reproduction of Recorded media ,,884,937,,14670,2840,86,425,3713,7266,209,87736,,,,81,130,,24014,1301,3676,6377,444,170,155,2203,8070,1667,,39126
Manuf. of coke & Refined petroleum ,,542,1983,272108,1847,4652,67,1003,3165,5494,1613,266354,,2860,5180500,1,,,120964,1667,,10981,824,338,0,3506,10067,,,117651
Manuf. of Chemicals & Chemical products,,2979,9056,,46446,20012,105,2204,19983,49842,1169,489204,,12274,11855900,66,529,109,194556,10977,,16108,940,589,392,9226,,,,192944
Manuf. of Pharma products,,2345,6983,,19434,66973,11,1583,12592,22186,504,510599,,9482,,93,103,,74449,2643,,5430,591,69,963,6874,,34517,,156081
"Manuf. of Rubber, Plastics & Nonmetallic products ",,,,,,,,,,,,,,23209,,,,570,,,,,,,,,,,,
